| 6h return | daily fractional period | daily return | weekly fractional period | weekly return | monthly fractional period | monthly return | annual fractional period | annual return |
| -0.001831 | 0.250000 | -0.007325 | 0.051587 | -0.035500 | 0.011905 | -0.153832 | 0.000684 | -2.675524 |
| 0.006008 | 0.250000 | 0.024033 | 0.051587 | 0.116470 | 0.011905 | 0.504701 | 0.000684 | 8.778017 |
| -0.016476 | 0.250000 | -0.065904 | 0.051587 | -0.319382 | 0.011905 | -1.383989 | 0.000684 | -24.071029 |
| 0.005713 | 0.250000 | 0.022851 | 0.051587 | 0.110738 | 0.011905 | 0.479864 | 0.000684 | 8.346033 |
| 0.011154 | 0.250000 | 0.044617 | 0.051587 | 0.216221 | 0.011905 | 0.936956 | 0.000684 | 16.296003 |
| -0.035851 | 0.250000 | -0.143406 | 0.051587 | -0.694966 | 0.011905 | -3.011521 | 0.000684 | -52.377878 |
| -0.020325 | 0.250000 | -0.081300 | 0.051587 | -0.393990 | 0.011905 | -1.707292 | 0.000684 | -29.694077 |
| 0.000114 | 0.250000 | 0.000456 | 0.051587 | 0.002209 | 0.011905 | 0.009572 | 0.000684 | 0.166475 |
| -0.001418 | 0.250000 | -0.005671 | 0.051587 | -0.027482 | 0.011905 | -0.119088 | 0.000684 | -2.071233 |
| 0.010013 | 0.250000 | 0.040052 | 0.051587 | 0.194100 | 0.011905 | 0.841101 | 0.000684 | 14.628847 |
| 0.011539 | 0.250000 | 0.046158 | 0.051587 | 0.223688 | 0.011905 | 0.969315 | 0.000684 | 16.858816 |
| -0.021823 | 0.250000 | -0.087290 | 0.051587 | -0.423023 | 0.011905 | -1.833099 | 0.000684 | -31.882183 |
| -0.001322 | 0.250000 | -0.005286 | 0.051587 | -0.025618 | 0.011905 | -0.111010 | 0.000684 | -1.930748 |
| 0.018718 | 0.250000 | 0.074873 | 0.051587 | 0.362844 | 0.011905 | 1.572323 | 0.000684 | 27.346636 |
| -0.005857 | 0.250000 | -0.023428 | 0.051587 | -0.113537 | 0.011905 | -0.491994 | 0.000684 | -8.557014 |
